name,effect,url,"+1/+1","+0/+1","+1/-1","-0/-1","-1/+1","-1/-0","+1/+0","-1/-1","+2/+2","trample","haste","flying","first strike","double strike","deathtouch","lifelink","menance","hex proof","reach","vigilance","indestructable","poison","shield","coin"
"Fiend Hunter","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Fiend+Hunter#paper","When this creature enters, you may exile another target creature.When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frontline Medic","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Frontline+Medic#paper","Battalion — Whenever this creature and at least two other creatures attack, creatures you control gain indestructible until end of turn.Sacrifice this creature: Counter target spell with in its mana cost unless its controller pays .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilraen, Dunedain Protector","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Gilraen+Dunedain+Protector#paper",", : Exile another target creature you control. You may return that card to the battlefield under its owner's control. If you don't, at the beginning of the next end step, return that card to the battlefield under its owner's control with a vigilance counter and a lifelink counter on it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Gimli of the Glittering Caves","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Gimli+of+the+Glittering+Caves#paper","Double strikeWhenever another legendary creature you control enters, put a +1/+1 counter on Gimli.Whenever Gimli deals combat damage to a player, create a Treasure token.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Theoden, King of Rohan","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Theoden+King+of+Rohan#paper","Whenever Théoden, King of Rohan or another Human enters the battlefield under your control, target creature gains double strike until end of turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Verge Rangers","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Verge+Rangers#paper","First strikeYou may look at the top card of your library any time.As long as an opponent controls more lands than you, you may play lands from the top of your library. (You can play a land this way only if you have an available land play remaining.)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Village Bell-Ringer","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Village+Bell-Ringer#paper","Flash (You may cast this spell any time you could cast an instant.)When this creature enters, untap all creatures you control.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aragorn, King of Gondor","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Aragorn+King+of+Gondor#paper","Vigilance, lifelinkWhen Aragorn enters, you become the monarch.Whenever Aragorn attacks, up to one target creature can't block this turn. If you're the monarch, creatures can't block this turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Beregond of the Guard","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Beregond+of+the+Guard#paper","Whenever Beregond or another Human you control enters, creatures you control get +1/+1 and gain vigilance until end of turn.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Boromir, Gondor's Hope","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Boromir+Gondors+Hope#paper","Whenever Boromir enters or attacks, look at the top six cards of your library. You may reveal a Human or artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erkenbrand, Lord of Westfold","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Erkenbrand+Lord+of+Westfold#paper","Whenever Erkenbrand, Lord of Westfold or another Human enters the battlefield under your control, creatures you control get +1/+0 until end of turn.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frontier Warmonger","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Frontier+Warmonger#paper","Whenever one or more creatures attack one of your opponents or a planeswalker they control, those creatures gain menace until end of turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grey Host Reinforcements","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Grey+Host+Reinforcements#paper","Flying, ward When this creature enters, exile target player's graveyard. Put a number of +1/+1 counters on this creature equal to the number of creature cards exiled this way.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lossarnach Captain","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Lossarnach+Captain#paper","First strikeWhenever this creature or another Human you control enters, tap target creature an opponent controls.At the beginning of your upkeep, create a 1/1 white Human Soldier creature token.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Palace Jailer","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Palace+Jailer#paper","When this creature enters, you become the monarch.When this creature enters, exile target creature an opponent controls until an opponent becomes the monarch.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selfless Squire","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Selfless+Squire#paper","FlashWhen this creature enters, prevent all damage that would be dealt to you this turn.Whenever damage that would be dealt to you is prevented, put that many +1/+1 counters on this creature.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eomer, King of Rohan","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Eomer+King+of+Rohan#paper","Double strikeÉomer enters with a +1/+1 counter on it for each other Human you control.When Éomer enters, target player becomes the monarch. Éomer deals damage equal to its power to any target.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Flamerush Rider","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Flamerush+Rider#paper","Whenever this creature attacks, create a token that's a copy of another target attacking creature and that's tapped and attacking. Exile the token at end of combat.Dash (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riders of Rohan","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Riders+of+Rohan#paper","When this creature enters, create two 2/2 red Human Knight creature tokens with trample and haste.Dash (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zealous Conscripts","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Zealous+Conscripts#paper","HasteWhen this creature enters, gain control of target permanent until end of turn. Untap that permanent. It gains haste until end of turn.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Champions of Minas Tirith","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Champions+of+Minas+Tirith#paper","When this creature enters, you become the monarch.At the beginning of combat on each opponent's turn, if you're the monarch, that opponent may pay , where X is the number of cards in their hand. If they don't, they can't attack you this combat.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dearly Departed","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Dearly+Departed#paper","FlyingAs long as this creature is in your graveyard, each Human creature you control enters with an additional +1/+1 counter on it.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Earthquake","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Earthquake#paper","Earthquake deals X damage to each creature without flying and each player.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Path to Exile","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Path+to+Exile#paper","Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swords to Plowshares","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Swords+to+Plowshares#paper","Exile target creature. Its controller gains life equal to its power.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forth Eorlingas!","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Forth+Eorlingas#paper","Create X 2/2 red Human Knight creature tokens with trample and haste.Whenever one or more creatures you control deal combat damage to one or more players this turn, you become the monarch.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lost to Legend","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Lost+to+Legend#paper","Put target nonland historic permanent into its owner's library fourth from the top. (Artifacts, legendaries, and Sagas are historic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunset Revelry","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Sunset+Revelry#paper","If an opponent has more life than you, you gain 4 life.If an opponent controls more creatures than you, create two 1/1 white Human creature tokens.If an opponent has more cards in hand than you, draw a card.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unbreakable Formation","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Unbreakable+Formation#paper","Creatures you control gain indestructible until end of turn.Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Supreme Verdict","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Supreme+Verdict#paper","This spell can't be countered.Destroy all creatures.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Call for Aid","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Call+for+Aid#paper","Gain control of all creatures target opponent controls until end of turn. Untap those creatures. They gain haste until end of turn. You can't attack that player this turn. You can't sacrifice those creatures this turn.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Increasing Devotion","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Increasing+Devotion#paper","Create five 1/1 white Human creature tokens. If this spell was cast from a graveyard, create ten of those tokens instead.Flashback (You may cast this card from your graveyard for its flashback cost. Then exile it.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taunt from the Rampart","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Taunt+from+the+Rampart#paper","Goad all creatures your opponents control. Until your next turn, those creatures can't block. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visions of Glory","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Visions+of+Glory#paper","Create a 1/1 white Human creature token for each creature you control.Flashback . This spell costs less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sol Ring","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Sol+Ring-Sauron#paper",": Add .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wayfarer's Bauble","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Wayfarers+Bauble#paper",", , Sacrifice this artifact: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcane Signet","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Arcane+Signet#paper",": Add one mana of any color in your commander's color identity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talisman of Conviction","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Talisman+of+Conviction#paper",": Add . : Add or . This artifact deals 1 damage to you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talisman of Progress","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Talisman+of+Progress#paper",": Add . : Add or . This artifact deals 1 damage to you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thought Vessel","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Thought+Vessel#paper","You have no maximum hand size. : Add .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commander's Sphere","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Commanders+Sphere#paper",": Add one mana of any color in your commander's color identity.Sacrifice this artifact: Draw a card.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crown of Gondor","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Crown+of+Gondor#paper","Equipped creature gets +1/+1 for each creature you control.When a legendary creature you control enters, if there is no monarch, you become the monarch.Equip . This ability costs less to activate if you're the monarch.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heirloom Blade","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Heirloom+Blade#paper","Equipped creature gets +3/+1.Whenever equipped creature dies, you may reveal cards from the top of your library until you reveal a creature card that shares a creature type with it. Put that card into your hand and the rest on the bottom of your library in a random order.Equip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herald's Horn","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Heralds+Horn#paper","As this artifact enters, choose a creature type.Creature spells you cast of the chosen type cost less to cast.At the beginning of your upkeep, look at the top card of your library. If it's a creature card of the chosen type, you may reveal it and put it into your hand.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Door of Destinies","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Door+of+Destinies#paper","As this artifact enters, choose a creature type.Whenever you cast a spell of the chosen type, put a charge counter on this artifact.Creatures you control of the chosen type get +1/+1 for each charge counter on this artifact.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanquisher's Banner","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Vanquishers+Banner#paper","As this artifact enters, choose a creature type.Creatures you control of the chosen type get +1/+1.Whenever you cast a creature spell of the chosen type, draw a card.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banishing Light","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Banishing+Light#paper","When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shared Animosity","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Shared+Animosity#paper","Whenever a creature you control attacks, it gets +1/+0 until end of turn for each other attacking creature that shares a creature type with it.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshal's Anthem","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Marshals+Anthem#paper","Multikicker (You may pay an additional any number of times as you cast this spell.)Creatures you control get +1/+1.When this enchantment enters, return up to X target creature cards from your graveyard to the battlefield, where X is the number of times this enchantment was kicked.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Court of Ire","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Court+of+Ire#paper","When this enchantment enters, you become the monarch.At the beginning of your upkeep, this enchantment deals 2 damage to any target. If you're the monarch, it deals 7 damage instead.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fealty to the Realm","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Fealty+to+the+Realm#paper","Enchant creatureWhen this Aura enters, you become the monarch.The monarch controls enchanted creature.Enchanted creature attacks each combat if able and can't attack you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oath of Eorl","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Oath+of+Eorl#paper","(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)I — Create two 1/1 white Human Soldier creature tokens.II — Create two 2/2 red Human Knight creature tokens with trample and haste.III — Put an indestructible counter on up to one target Human. You become the monarch.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battlefield Forge","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Battlefield+Forge#paper",": Add . : Add or . This land deals 1 damage to you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clifftop Retreat","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Clifftop+Retreat#paper","This land enters tapped unless you control a Mountain or a Plains. : Add or .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Command Tower","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Command+Tower#paper",": Add one mana of any color in your commander's color identity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evolving Wilds","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Evolving+Wilds#paper",", Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exotic Orchard","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Exotic+Orchard#paper",": Add one mana of any color that a land an opponent controls could produce.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Field of Ruin","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Field+of+Ruin#paper",": Add . , , Sacrifice this land: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furycalm Snarl","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Furycalm+Snarl#paper","ERROR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glacial Fortress","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Glacial+Fortress#paper","ERROR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Island","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Island-264#paper","( : Add .)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mountain","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Mountain-268#paper","( : Add .)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Path of Ancestry","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Path+of+Ancestry#paper","This land enters tapped. : Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plains","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Plains-262#paper","( : Add .)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port Town","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Port+Town#paper","As this land enters, you may reveal a Plains or Island card from your hand. If you don't, this land enters tapped. : Add or .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prairie Stream","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Prairie+Stream#paper","( : Add or .)This land enters tapped unless you control two or more basic lands.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogue's Passage","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Rogues+Passage#paper",": Add . , : Target creature can't be blocked this turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secluded Courtyard","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Secluded+Courtyard#paper","As this land enters, choose a creature type. : Add . : Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulfur Falls","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Sulfur+Falls#paper","This land enters tapped unless you control an Island or a Mountain. : Add or .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terramorphic Expanse","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Terramorphic+Expanse#paper",", Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
